exhibition_id,name,poster_link,start_period,end_period
20160101000057,제17회 전국장애인도예공모전 전시,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659572120474.png,2022-08-03,2022-08-08
20160101000059,ACC시네마테크 7월 정기상영회 <한국애니메이션 복원작1탄>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1658363346308.jpg,2022-07-28,2022-07-29
20160101000060,NEWFACE,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659319474690.jpg,2022-07-27,2022-08-01
20160101000061,아름다운 규방공예,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659319429196.jpg,2022-07-27,2022-08-01
20160101000063,이승호 : 어둡지 않은 야경을 담다,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1658970918962.jpg,2022-07-26,2022-08-01
20160101000067,CHRONO OBJECT the 2nd,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1658107100620.jpg,2022-07-20,2022-08-01
20160101000068,두드리다(국가무형문화재 3人 공개행사),https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1658362850708.jpg,2022-07-20,2022-07-25
20160101000069,바캉스 파티,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1657070055938.jpg,2022-07-20,2022-07-31
20160101000070,"[신진미술인 전시지원 프로그램] 문현정 기획전 《호텔, 디스토피아》",https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220715111830_50e74fedd61b43ceb9cd24b5fbb28409_138790db4fbb440f88acca1bab269d86,2022-07-20,2022-07-20
20160101000071,옵티컬 루미너스(Optical Luminous),https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1658363206475.jpg,2022-07-20,2022-07-25
20160101000073,아트스페이스카고 개관 레퍼토리 전시《이주 Migrate》,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1658275900419.jpg,2022-07-19,2022-08-12
20160101000075,자치구 협력전시 《SeMA 컬렉션: 상상동물원》,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220714200411_52310c3eaece47e9a5697a021367722d_54019d1ab465449ca1e80365b9893fae,2022-07-15,2022-07-15
20160101000076,이명지 사진전 The sea,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1657154862919.jpg,2022-07-13,2022-07-21
20160101000077,"캘리, 인천에서 꽃피다 - KCCA 캘리 축제",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1657154917911.jpg,2022-07-13,2022-07-21
20160101000078,도시탐험자 展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1658106877544.jpg,2022-07-12,2022-08-27
20160101000080,DDP 오픈큐레이팅 vol.22 <가장 조용한 집>,https://ddp.or.kr/usr/upload/board_thumb/zboardphotogallery0/20220705022828529.jpg,2022-07-11,2022-07-11
20160101000081,"12m 아래, 종(種)들의 스펙터클",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1656550568599.jpg,2022-07-08,2022-07-23
20160101000082,DDP협력전시 <우리를 매혹시킨 20세기 디자인> 展,https://ddp.or.kr/usr/upload/board_thumb/zboardphotogallery0/20220715094521290.jpg,2022-07-08,2022-07-08
20160101000083,김영은 개인전 《소리의 틀》,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=41079&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,2022-07-08,2022-08-13
20160101000084,Fresh Zone,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=41126&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,2022-07-07,2022-07-17
20160101000086,[신진미술인 전시지원 프로그램] 김현주 기획전 《너는 나를》,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220629151410_98dbf06daf12432bb2417907d1e5cced_1305a7f8ee4a44cbb208f9f892df6083,2022-07-06,2022-07-06
20160101000087,[신진미술인 전시지원 프로그램] 전장연 개인전 《발끝으로 선 낮》,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220629141927_7d40fff00a594a3d8244cda814d60edc_c92cdf429560479087c68c50023fde67,2022-07-06,2022-07-06
20160101000088,제24회 한국현대도예가회전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1657154739833.jpg,2022-07-06,2022-07-12
20160101000089,코리안 프렌치 아트 커넥션,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1657154816179.jpg,2022-07-06,2022-07-08
20160101000090,"박영훈, 이지송 2인전 《BLACK INTO LIGHT》",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1656979525149.jpg,2022-07-04,2022-07-23
20160101000091,2022 울산국제아트페어,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1655860816966.jpg,2022-06-30,2022-07-03
20160101000093,NANJI ACCESS with PACK: Mbps,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220725160550_0bd0c9739ade4248b54b8366693eebc3_8b2b5014200347fb88b5a0db0b69afbd,2022-06-29,2022-06-29
20160101000094,"Warmly, 따스하게",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1657069720116.jpg,2022-06-28,2022-07-17
20160101000095,신촌문화발전소 기획전시 <시선의 움직임>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1656898297796.jpg,2022-06-28,2022-08-05
20160101000096,신명희 개인전 - 뷰티인그레이스,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=faec0c25744c22e99776405c0fa72802a14041c7381980e81ed1f7e888367bdf&streFileNm=aaa73e4ab2b3086d00b941a56048ed5524078277cccf491c8dad44ed96e373b4,2022-06-25,2022-06-25
20160101000097,INSERT COIN,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1655169604826.jpg,2022-06-22,2022-06-26
20160101000098,푸른 구름의 나라_고려복식 고증 일러스트전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1655943490229.jpg,2022-06-22,2022-06-28
20160101000099,공간,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1655167227586.png,2022-06-20,2022-06-26
20160101000100,<용도의 쓸모> 1장,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1655860633370.jpg,2022-06-18,2022-07-07
20160101000101,그림도시 The Last Scene: See You Again,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1655352744482.jpg,2022-06-17,2022-06-19
