title,link,author,pubDate,description,isbn,priceSales,priceStandard,mallType,cover,categoryId,categoryName,publisher,customerReviewRank,bestRank
시간 속의 강,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=109267351&partner=openAPI&start=api,한영수 (지은이),2017-05-01,"사진작가 한영수가 활동했던 시기는 '한강의 기적'이라고도 불리는, 서울이 현대화된 도시로 다시 태어나는 중요한 시기였다. 그 현대화의 상징인 '한강'이 이번 사진집의 주제이다. 이 사진들은 한강을 중심으로 그 안에서,  그 옆에서,  또는 그 위에서 살아가는사람들의 모습을 담고 있다.",8996898988,36000,40000,BOOK,https://image.aladin.co.kr/product/10926/73/coversum/8996898988_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,한스그라픽,10,12
서울의 목욕탕,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=163138875&partner=openAPI&start=api,"6699press 편집부 (지은이), 박현성 (사진)",2018-08-06,"우리 삶 안에서 시대의 변화를 견뎌 온 오래된 목욕탕을 찾고, 언젠가 사라질지 모르는 당대의 장소성을 기록한 사진집이다. 삶 가까이에 배어 있던 오래된 정취를 잃어간 서울의 틈에서 30년 이상 된 목욕탕 10곳을 집중해 견딤이 축적된 현재와 고취를 사진과 짧은 문장에 담았다.",8996977195,31350,33000,BOOK,https://image.aladin.co.kr/product/16313/88/coversum/8996977195_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,6699press,10,13
비비안 마이어 : 나는 카메라다,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=298986777&partner=openAPI&start=api,"비비안 마이어 (지은이), 존 말루프 (엮은이), 박여진 (옮긴이), 하워드 그린버그 (해제), 로라 립먼 (서문)",2022-08-30,사진가 비비안 마이어의 신비로운 삶을 역추적하며 작품 세계를 조명한 사진집이다. 그의 시그니처인 셀프 포트레이트와 희귀한 컬러 사진을 포함하여 가장 깊이 있는 정수 235점을 한 권에 담아 비비안 마이어의 모든 것을 집대성했다.,K392838935,27000,30000,BOOK,https://image.aladin.co.kr/product/29898/67/coversum/k392838935_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,윌북아트,8,14
레투어 Retour Vol.04 : 아이슬란드,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=283951629&partner=openAPI&start=api,맹민화 (지은이),2021-11-30,"김재훈의 로스앤젤레스, 정멜멜의 시칠리아, JDZ Chung의 하와이에 이어 도시 풍경 사진집 『레투어』 시리즈의 네 번째 주인공이 된 맹민화 작가가 담아낸 곳은, 신비로운 대자연의 풍경이 펼쳐지는 아이슬란드다.",K982835911,13500,15000,BOOK,https://image.aladin.co.kr/product/28395/16/coversum/k982835911_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,어반북스,0,15
노무라 리포트 - 청계천변 판자촌 사람들 1973-1976,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=31919188&partner=openAPI&start=api,노무라 모토유키 (지은이),2013-10-10,청계천변 판자촌 사람들을 담은 노무라 모토유키 사진집 &lt;노무라 리포트&gt;.,8974092379,27550,29000,BOOK,https://image.aladin.co.kr/product/3191/91/coversum/8974092379_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,눈빛,0,16
낸 골딘,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=222715917&partner=openAPI&start=api,"귀도 코스타 (지은이), 김우룡 (옮긴이), 낸 골딘 (사진)",2019-11-20,국내외 대표 사진가들을 엄선해 그 생애과 작품을 소개하는 '열화당 사진문고'는 아담한 판형에 부담 없는 가격으로 꾸준한 사랑을 받아 왔다. 이번에 출간하는 &lt;낸 골딘&gt; 개정판 역시 새 표지로 단장하고 오류 및 최신정보 등을 보완하여 다시 내놓는다.,8930106536,15000,15000,BOOK,https://image.aladin.co.kr/product/22271/59/coversum/8930106536_2.jpg,51063,국내도서>예술/대중문화>사진>사진집,열화당,0,17
게르트너 부부의 여행,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=129325652&partner=openAPI&start=api,지뷜레 펜트 (지은이),2018-01-05,"치매에 걸린 아내와 함께 떠난, 어느 노부부의 마지막 여행 사진들. 자기만의 세계에 살고 있는 아내 엘케의 천진한 표정과, 아내가 너무 멀리 벗어나지 않게 지켜보는 남편 로타어의 깊은 눈빛 그리고 그들을 둘러싼 아름다운 발트해 지역의 자연이 작가의 카메라에 포착되었다.",K512532480,16020,17800,BOOK,https://image.aladin.co.kr/product/12932/56/coversum/k512532480_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,클,0,18
전쟁교본,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=8839517&partner=openAPI&start=api,"베르톨트 브레히트 (지은이), 이승진 (옮긴이)",2011-02-11,,8974099454,23750,25000,BOOK,https://image.aladin.co.kr/product/883/95/coversum/8974099454_1.jpg,50922,국내도서>소설/시/희곡>독일소설,눈빛,10,19
외젠 앗제,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=222715317&partner=openAPI&start=api,"게리 뱃저 (지은이), 정재곤 (옮긴이), 외젠 앗제 (사진)",2019-11-20,『외젠 앗제』 개정판. 새 표지로 단장하고 오류 및 최신정보 등을 보완하여 다시 내놓는다.,8930106560,15000,15000,BOOK,https://image.aladin.co.kr/product/22271/53/coversum/8930106560_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,열화당,0,20
동주의 시절,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=300657036&partner=openAPI&start=api,"류은규, 도다 이쿠코 (지은이)",2022-09-03,아련한 추억을 더듬어가듯 빛바랜 사진과 함께 우리는 윤동주에게 다가간다. &lt;동주의 시절&gt;은 윤동주가 고향 북간도에서 쓴 20 편의 시와 200여 장의 사진으로 구성한 사진자료집이다.,8998135086,25200,28000,BOOK,https://image.aladin.co.kr/product/30065/70/coversum/8998135086_1.jpg,141,국내도서>역사>한국근현대사>일제치하/항일시대,토향,0,21
그랜드 부다페스트 호텔,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=74889169&partner=openAPI&start=api,"매트 졸러 세이츠 (지은이), 웨스 앤더슨 (원작), 막스 달튼 (그림), 조동섭 (옮긴이), 앤 워시번",2016-02-15,"현대판 동화이자 환상적인 아트버스터 &lt;그랜드 부다페스트 호텔&gt; 세계의 창조자 웨스 앤더슨의 오리지널 아트북이 출간되었다. 영화와 동명인 이 책은 그가 직접 참여하여 만든 유일한 아트북으로, 자신의 작품 세계의 정수를 고스란히 담아내었다.",K032434603,19800,22000,BOOK,https://image.aladin.co.kr/product/7488/91/coversum/k032434603_2.jpg,51042,국내도서>예술/대중문화>영화/드라마>영화이야기,윌북,10,22
